날짜,결제금액,가맹점,결제방식,고정비여부,할부,할부개월수
2025-07-01,506930,월세이체,카드,True,일시불,
2025-03-08,159560,동네헬스장,현금,False,일시불,
2025-08-01,200520,삼성화재,카드,True,일시불,
2026-01-03,40540,카카오T,현금,False,일시불,
2025-07-01,138580,알라딘,카드,True,일시불,
2025-04-17,124510,맘스터치,카드,False,일시불,
2025-07-12,27980,일반택시,카드,False,일시불,
2026-01-10,235700,스포애니,카드,False,일시불,
2025-10-03,137430,올리브영,카드,False,일시불,
2026-01-02,17460,SK주유소,카드,False,일시불,
2025-09-17,62840,배달의민족,현금,False,일시불,
2025-03-12,146610,GS25,현금,False,일시불,
2025-12-15,99070,모두의주차장,현금,False,일시불,
2025-06-24,76450,아트박스,현금,False,일시불,
2025-07-14,18460,클래스101,현금,False,일시불,
