date,amount,category,sub_category,description,payment_method,is_fixed,installment_type,installment_months
2025-05-01,108790,교육,도서,YES24,현금,True,일시불,
2025-04-01,94320,금융/보험,보험,삼성화재,현금,True,일시불,
2026-01-31,15820,식비,카페,이디야,현금,False,일시불,
2025-07-12,47290,문화/여가,공연,인터파크티켓,카드,False,일시불,
2025-12-15,145060,쇼핑,의류,H&M,현금,False,일시불,
2025-12-01,308510,금융/보험,보험,현대해상,카드,True,일시불,
2025-09-19,98410,의료/건강,헬스장,동네헬스장,현금,False,일시불,
2025-04-13,54840,교통비,택시,UT,카드,False,일시불,
2025-05-29,32010,문화/여가,영화,롯데시네마,카드,False,일시불,
2025-07-09,12180,식비,장보기,CU,카드,False,일시불,
2025-04-01,253350,금융/보험,대출,은행자동이체,카드,True,일시불,
2025-05-15,29420,식비,배달,쿠팡이츠,현금,False,일시불,
2025-08-05,293160,문화/여가,취미,교보문고,현금,False,일시불,
2025-08-01,19310,구독,넷플릭스,넷플릭스,카드,True,일시불,
2025-04-01,568820,주거/통신,인터넷,KT인터넷,카드,True,일시불,
2026-01-02,187830,쇼핑,의류,유니클로,현금,False,일시불,
2025-06-26,98400,쇼핑,잡화,아트박스,현금,False,일시불,
2025-02-05,119640,식비,식당,맘스터치,현금,False,일시불,
2025-11-24,72210,쇼핑,의류,H&M,카드,False,일시불,
2025-09-03,75720,의료/건강,약국,메디팜,현금,False,일시불,
2025-10-01,261000,금융/보험,보험,KB손해보험,카드,True,일시불,
2025-05-01,223120,주거/통신,인터넷,LG U+인터넷,현금,True,일시불,
2025-09-01,718620,주거/통신,인터넷,KT인터넷,카드,True,일시불,
2025-01-01,794280,주거/통신,월세,월세이체,현금,True,일시불,
2025-07-01,28960,구독,넷플릭스,넷플릭스,카드,True,일시불,
2025-03-01,775800,주거/통신,통신비,LG U+,카드,True,일시불,
2025-09-01,53920,식비,배달,요기요,카드,False,일시불,
2025-11-04,122390,쇼핑,의류,H&M,카드,False,일시불,
2025-07-22,123600,문화/여가,공연,예스24티켓,현금,False,일시불,
2025-08-01,207580,금융/보험,대출,대출이자,현금,True,일시불,
2025-10-30,14040,식비,식당,김밥천국,카드,False,일시불,
2025-10-01,11520,구독,멜론,멜론,카드,True,일시불,
2025-08-16,154460,의료/건강,약국,온누리약국,현금,False,일시불,
2025-06-01,416620,주거/통신,인터넷,SK브로드밴드,현금,True,일시불,
2025-04-08,47620,교통비,택시,카카오T,현금,False,일시불,
2026-01-02,180230,쇼핑,온라인 쇼핑,G마켓,카드,False,일시불,
2025-08-27,92620,문화/여가,영화,메가박스,현금,False,일시불,
2025-07-15,125710,쇼핑,온라인 쇼핑,네이버쇼핑,카드,False,일시불,
2025-10-01,11360,구독,넷플릭스,넷플릭스,현금,True,일시불,
2025-04-01,560100,주거/통신,월세,월세이체,현금,True,일시불,
2025-12-01,187020,문화/여가,여행,에어비앤비,카드,False,일시불,
2025-07-01,98380,주거/통신,관리비,아파트관리비,카드,True,일시불,
2025-04-07,110790,의료/건강,병원,정형외과,현금,False,일시불,
2025-01-01,454330,주거/통신,인터넷,SK브로드밴드,카드,True,일시불,
2025-09-01,254020,교육,도서,알라딘,카드,True,일시불,
2026-01-02,113540,식비,배달,쿠팡이츠,카드,False,일시불,
2025-03-01,520950,주거/통신,관리비,아파트관리비,현금,True,일시불,
2025-12-06,70270,식비,배달,쿠팡이츠,카드,False,일시불,
2025-09-24,189160,의료/건강,병원,동네내과,현금,False,일시불,
2025-07-20,122350,의료/건강,병원,동네내과,현금,False,일시불,
2025-10-01,29470,구독,멜론,멜론,현금,True,일시불,
2025-12-27,59640,문화/여가,영화,CGV,카드,False,일시불,
2025-10-01,24210,구독,멜론,멜론,카드,True,일시불,
2025-05-01,139130,교육,학원,코딩학원,카드,True,일시불,
2025-07-01,170260,주거/통신,통신비,SKT,카드,True,일시불,
2025-03-28,12110,교통비,주유,SK주유소,현금,False,일시불,
2025-09-01,13800,구독,유튜브,유튜브프리미엄,카드,True,일시불,
2025-04-25,142190,식비,배달,요기요,카드,False,일시불,
2025-08-12,16100,문화/여가,여행,여기어때,카드,False,일시불,
2025-08-01,23980,구독,유튜브,유튜브프리미엄,현금,True,일시불,
2025-12-01,28530,구독,넷플릭스,넷플릭스,카드,True,일시불,
2025-04-01,322150,금융/보험,보험,현대해상,카드,True,할부,8.0
2025-11-15,60170,식비,카페,메가커피,카드,False,일시불,
2025-10-21,92940,교통비,주차,카카오T주차,현금,False,일시불,
2025-05-01,378200,주거/통신,월세,월세이체,카드,True,일시불,
2025-09-01,298600,교육,학원,수학학원,현금,True,일시불,
2025-02-09,152050,문화/여가,영화,롯데시네마,현금,False,일시불,
2025-02-01,277460,금융/보험,보험,KB손해보험,현금,True,일시불,
2025-12-14,98380,교통비,택시,일반택시,현금,False,일시불,
2026-01-24,47820,식비,식당,서브웨이,현금,False,일시불,
