date,amount,category,sub_category,description,payment_method,is_fixed,memo,installment_type,installment_months
2025-03-11,195100,쇼핑,의류,의류 관련 지출,카드,False,3개월 할부,할부,3.0
2025-11-10,55570,의료/건강,헬스장,헬스장 관련 지출,카드,False,,일시불,
2025-09-30,92780,식비,장보기,장보기 관련 지출,현금,False,,일시불,
2025-05-01,27990,구독,멜론,멜론 관련 지출,현금,True,,일시불,
2025-09-21,94910,쇼핑,잡화,잡화 관련 지출,현금,False,,일시불,
2025-03-01,26110,교육,학원,학원 관련 지출,카드,True,,일시불,
2025-07-01,72250,식비,배달,배달 관련 지출,카드,False,,일시불,
2025-06-17,95950,교통비,택시,택시 관련 지출,카드,False,,일시불,
2025-05-01,324770,금융/보험,보험,보험 관련 지출,카드,True,,일시불,
2025-02-03,146930,문화/여가,취미,취미 관련 지출,현금,False,,일시불,
2026-01-10,240130,의료/건강,헬스장,헬스장 관련 지출,카드,False,9개월 할부,할부,9.0
2025-06-18,154140,쇼핑,의류,의류 관련 지출,카드,False,,일시불,
2025-11-23,40450,식비,식당,식당 관련 지출,현금,False,,일시불,
2025-10-23,120830,쇼핑,잡화,잡화 관련 지출,현금,False,,일시불,
2025-10-01,28950,구독,넷플릭스,넷플릭스 관련 지출,카드,True,,일시불,
2025-03-27,176690,문화/여가,여행,여행 관련 지출,카드,False,,일시불,
2025-07-04,38570,식비,장보기,장보기 관련 지출,현금,False,,일시불,
2025-10-12,29460,교통비,택시,택시 관련 지출,현금,False,,일시불,
2025-08-07,65880,쇼핑,온라인 쇼핑,온라인 쇼핑 관련 지출,현금,False,,일시불,
2025-03-31,134760,식비,배달,배달 관련 지출,현금,False,,일시불,
2025-04-29,22460,식비,카페,카페 관련 지출,카드,False,,일시불,
2025-06-03,61040,식비,카페,카페 관련 지출,현금,False,,일시불,
2025-03-19,138850,식비,배달,배달 관련 지출,카드,False,,일시불,
2025-12-15,59920,식비,장보기,장보기 관련 지출,카드,False,,일시불,
2025-04-01,12470,구독,멜론,멜론 관련 지출,카드,True,,일시불,
2025-04-01,104800,교육,학원,학원 관련 지출,현금,True,,일시불,
2025-11-05,86790,의료/건강,헬스장,헬스장 관련 지출,카드,False,,일시불,
2025-07-01,16520,구독,넷플릭스,넷플릭스 관련 지출,카드,True,,일시불,
2025-02-01,128140,금융/보험,보험,보험 관련 지출,현금,True,,일시불,
2025-10-01,214850,교육,강의,강의 관련 지출,카드,True,,일시불,
2025-11-01,27030,구독,넷플릭스,넷플릭스 관련 지출,현금,True,,일시불,
2025-06-01,58760,금융/보험,보험,보험 관련 지출,현금,True,,일시불,
2025-11-01,210890,주거/통신,관리비,관리비 관련 지출,현금,True,,일시불,
2025-12-05,52480,문화/여가,영화,영화 관련 지출,카드,False,,일시불,
2025-09-19,78670,교통비,주유,주유 관련 지출,카드,False,,일시불,
2025-10-07,292770,의료/건강,약국,약국 관련 지출,현금,False,,일시불,
2025-06-01,30000,구독,멜론,멜론 관련 지출,카드,True,,일시불,
2025-06-26,151800,문화/여가,여행,여행 관련 지출,카드,False,,일시불,
2025-10-17,69160,의료/건강,약국,약국 관련 지출,카드,False,,일시불,
2025-08-24,76760,식비,배달,배달 관련 지출,카드,False,,일시불,
2025-11-06,79050,교통비,주유,주유 관련 지출,카드,False,,일시불,
2025-02-17,56270,쇼핑,잡화,잡화 관련 지출,카드,False,,일시불,
2026-01-29,123650,문화/여가,취미,취미 관련 지출,현금,False,,일시불,
2025-12-19,40950,교통비,대중교통,대중교통 관련 지출,현금,False,,일시불,
2025-08-23,58320,식비,장보기,장보기 관련 지출,현금,False,,일시불,
2025-07-01,76340,교육,강의,강의 관련 지출,현금,True,,일시불,
2025-09-18,216580,문화/여가,공연,공연 관련 지출,현금,False,,일시불,
2025-07-01,263460,금융/보험,보험,보험 관련 지출,현금,True,,일시불,
2025-08-18,25760,쇼핑,의류,의류 관련 지출,카드,False,,일시불,
2025-02-22,164710,문화/여가,취미,취미 관련 지출,현금,False,,일시불,
2025-06-01,744330,주거/통신,관리비,관리비 관련 지출,현금,True,,일시불,
2025-08-29,278920,의료/건강,약국,약국 관련 지출,카드,False,2개월 할부,할부,2.0
2025-10-01,18260,구독,유튜브,유튜브 관련 지출,현금,True,,일시불,
2025-05-26,51660,교통비,주차,주차 관련 지출,카드,False,,일시불,
2025-06-20,136520,쇼핑,온라인 쇼핑,온라인 쇼핑 관련 지출,카드,False,3개월 할부,할부,3.0
2025-12-01,99890,교육,학원,학원 관련 지출,카드,True,,일시불,
2026-01-13,33600,교통비,주차,주차 관련 지출,카드,False,,일시불,
2025-04-01,113780,주거/통신,인터넷,인터넷 관련 지출,카드,True,,일시불,
2026-01-18,54070,식비,식당,식당 관련 지출,카드,False,,일시불,
2025-05-01,160400,교육,강의,강의 관련 지출,카드,True,,일시불,
2025-09-08,48320,교통비,주유,주유 관련 지출,카드,False,,일시불,
2025-04-01,10350,구독,넷플릭스,넷플릭스 관련 지출,카드,True,,일시불,
2025-09-06,196020,쇼핑,잡화,잡화 관련 지출,현금,False,,일시불,
2025-04-17,209220,문화/여가,여행,여행 관련 지출,카드,False,,일시불,
2025-02-20,88490,쇼핑,온라인 쇼핑,온라인 쇼핑 관련 지출,현금,False,,일시불,
2025-03-02,105980,의료/건강,약국,약국 관련 지출,카드,False,,일시불,
2025-07-01,149580,교육,도서,도서 관련 지출,카드,True,,일시불,
2025-08-01,261790,주거/통신,관리비,관리비 관련 지출,현금,True,,일시불,
2025-10-01,9420,구독,유튜브,유튜브 관련 지출,현금,True,,일시불,
2025-12-31,5790,식비,배달,배달 관련 지출,카드,False,,일시불,
2025-04-19,63520,교통비,주차,주차 관련 지출,현금,False,,일시불,
2025-05-01,190990,주거/통신,통신비,통신비 관련 지출,카드,True,,일시불,
2025-08-13,176040,의료/건강,약국,약국 관련 지출,카드,False,,일시불,
2025-11-05,127530,식비,장보기,장보기 관련 지출,카드,False,,일시불,
2025-02-02,109140,식비,카페,카페 관련 지출,카드,False,,일시불,
2025-11-01,280280,교육,도서,도서 관련 지출,카드,True,,일시불,
2025-09-01,24850,구독,멜론,멜론 관련 지출,카드,True,,일시불,
2025-04-12,32950,쇼핑,의류,의류 관련 지출,현금,False,,일시불,
2025-04-01,99180,금융/보험,보험,보험 관련 지출,카드,True,,일시불,
2025-02-13,103710,문화/여가,공연,공연 관련 지출,카드,False,,일시불,
2025-04-08,62040,교통비,대중교통,대중교통 관련 지출,현금,False,,일시불,
2026-01-25,56580,쇼핑,의류,의류 관련 지출,현금,False,,일시불,
2025-07-09,138060,쇼핑,의류,의류 관련 지출,현금,False,,일시불,
2025-08-02,280100,문화/여가,취미,취미 관련 지출,현금,False,,일시불,
2025-02-01,111010,교육,도서,도서 관련 지출,카드,True,9개월 할부,할부,9.0
2025-03-01,337540,주거/통신,통신비,통신비 관련 지출,현금,True,,일시불,
2025-03-16,98320,문화/여가,영화,영화 관련 지출,카드,False,,일시불,
2025-01-01,262990,주거/통신,통신비,통신비 관련 지출,현금,True,,일시불,
2025-06-17,48510,교통비,주차,주차 관련 지출,카드,False,,일시불,
2025-05-12,163200,문화/여가,공연,공연 관련 지출,현금,False,,일시불,
2025-12-10,47720,의료/건강,헬스장,헬스장 관련 지출,카드,False,,일시불,
2025-10-08,114280,쇼핑,의류,의류 관련 지출,현금,False,,일시불,
2025-12-01,88610,주거/통신,통신비,통신비 관련 지출,현금,True,,일시불,
2025-11-01,171700,교육,학원,학원 관련 지출,카드,True,10개월 할부,할부,10.0
2025-06-01,10660,구독,멜론,멜론 관련 지출,현금,True,,일시불,
2025-08-20,129740,식비,식당,식당 관련 지출,카드,False,,일시불,
2025-04-01,26380,구독,멜론,멜론 관련 지출,현금,True,,일시불,
2025-03-25,112470,식비,카페,카페 관련 지출,카드,False,,일시불,
2025-02-01,326500,금융/보험,보험,보험 관련 지출,카드,True,,일시불,
2025-09-30,19940,식비,장보기,장보기 관련 지출,카드,False,,일시불,
2026-01-12,218550,문화/여가,여행,여행 관련 지출,현금,False,,일시불,
2025-10-02,273020,문화/여가,공연,공연 관련 지출,현금,False,,일시불,
2025-01-01,259090,교육,도서,도서 관련 지출,현금,True,,일시불,
2025-04-23,37170,교통비,대중교통,대중교통 관련 지출,현금,False,,일시불,
2025-08-19,104320,쇼핑,의류,의류 관련 지출,카드,False,,일시불,
2025-11-01,13310,구독,멜론,멜론 관련 지출,카드,True,,일시불,
2025-03-01,18730,구독,넷플릭스,넷플릭스 관련 지출,현금,True,,일시불,
2025-03-01,184280,교육,도서,도서 관련 지출,현금,True,,일시불,
2025-03-01,25440,구독,멜론,멜론 관련 지출,카드,True,,일시불,
2025-08-27,124280,의료/건강,헬스장,헬스장 관련 지출,현금,False,,일시불,
2025-12-14,197100,문화/여가,취미,취미 관련 지출,현금,False,,일시불,
2025-07-20,5190,식비,카페,카페 관련 지출,현금,False,,일시불,
2025-04-29,77110,교통비,택시,택시 관련 지출,현금,False,,일시불,
2025-02-01,207200,교육,강의,강의 관련 지출,카드,True,,일시불,
2025-08-27,276580,의료/건강,병원,병원 관련 지출,카드,False,,일시불,
2026-01-23,48290,의료/건강,병원,병원 관련 지출,현금,False,,일시불,
2025-03-06,23480,교통비,주차,주차 관련 지출,현금,False,,일시불,
2025-02-01,28800,구독,유튜브,유튜브 관련 지출,카드,True,,일시불,
2025-09-15,128760,쇼핑,의류,의류 관련 지출,카드,False,,일시불,
2025-07-26,88440,문화/여가,취미,취미 관련 지출,카드,False,,일시불,
2025-01-01,71390,교육,학원,학원 관련 지출,현금,True,,일시불,
2025-07-23,91860,식비,카페,카페 관련 지출,카드,False,,일시불,
2025-06-01,219420,금융/보험,대출,대출 관련 지출,현금,True,,일시불,
2025-08-31,140840,식비,식당,식당 관련 지출,현금,False,,일시불,
2025-10-01,10810,구독,유튜브,유튜브 관련 지출,카드,True,,일시불,
2025-11-01,67020,교육,강의,강의 관련 지출,현금,True,,일시불,
2025-08-01,465040,주거/통신,관리비,관리비 관련 지출,카드,True,,일시불,
2025-05-01,7860,교육,도서,도서 관련 지출,현금,True,,일시불,
2025-07-01,189270,교육,학원,학원 관련 지출,카드,True,11개월 할부,할부,11.0
2025-09-30,51480,교통비,주차,주차 관련 지출,현금,False,,일시불,
2025-06-06,97690,교통비,택시,택시 관련 지출,카드,False,,일시불,
2025-07-01,229350,교육,강의,강의 관련 지출,카드,True,,일시불,
2025-08-23,168180,쇼핑,온라인 쇼핑,온라인 쇼핑 관련 지출,현금,False,,일시불,
2025-07-22,66370,문화/여가,영화,영화 관련 지출,현금,False,,일시불,
2025-12-01,134130,주거/통신,관리비,관리비 관련 지출,현금,True,,일시불,
2025-11-01,24570,구독,유튜브,유튜브 관련 지출,카드,True,,일시불,
2025-12-17,30610,교통비,택시,택시 관련 지출,카드,False,,일시불,
2025-05-18,261230,의료/건강,헬스장,헬스장 관련 지출,카드,False,,일시불,
2025-10-01,262550,교육,강의,강의 관련 지출,현금,True,,일시불,
2025-08-23,66770,교통비,주유,주유 관련 지출,현금,False,,일시불,
2025-12-01,123580,교육,학원,학원 관련 지출,카드,True,,일시불,
2025-05-25,181470,문화/여가,여행,여행 관련 지출,현금,False,,일시불,
2025-12-01,419770,금융/보험,보험,보험 관련 지출,카드,True,,일시불,
2025-05-31,80630,쇼핑,의류,의류 관련 지출,카드,False,,일시불,
2025-03-01,447990,금융/보험,대출,대출 관련 지출,카드,True,,일시불,
2025-08-21,145810,문화/여가,취미,취미 관련 지출,카드,False,,일시불,
2025-06-01,452430,금융/보험,보험,보험 관련 지출,카드,True,,일시불,
2025-06-28,25740,의료/건강,약국,약국 관련 지출,카드,False,,일시불,
2025-10-10,43060,식비,장보기,장보기 관련 지출,현금,False,,일시불,
2026-01-08,234430,문화/여가,취미,취미 관련 지출,카드,False,,일시불,
2025-08-01,11640,구독,넷플릭스,넷플릭스 관련 지출,현금,True,,일시불,
2026-01-29,210330,의료/건강,약국,약국 관련 지출,카드,False,,일시불,
2025-05-01,15200,구독,멜론,멜론 관련 지출,카드,True,,일시불,
2025-08-31,156310,문화/여가,여행,여행 관련 지출,카드,False,,일시불,
2025-04-07,26300,의료/건강,병원,병원 관련 지출,현금,False,,일시불,
2025-10-01,14940,쇼핑,잡화,잡화 관련 지출,현금,False,,일시불,
2025-06-22,200210,문화/여가,취미,취미 관련 지출,카드,False,,일시불,
2025-08-03,63300,교통비,대중교통,대중교통 관련 지출,현금,False,,일시불,
2025-08-01,13750,교육,학원,학원 관련 지출,카드,True,,일시불,
2025-05-01,22250,구독,넷플릭스,넷플릭스 관련 지출,현금,True,,일시불,
2025-06-01,297600,교육,강의,강의 관련 지출,카드,True,,일시불,
2025-08-01,146580,식비,식당,식당 관련 지출,현금,False,,일시불,
2025-04-01,273680,교육,강의,강의 관련 지출,카드,True,,일시불,
2025-12-14,93370,의료/건강,약국,약국 관련 지출,현금,False,,일시불,
2026-01-23,33430,식비,카페,카페 관련 지출,카드,False,,일시불,
2025-07-01,171440,주거/통신,관리비,관리비 관련 지출,카드,True,,일시불,
2025-05-20,139660,식비,식당,식당 관련 지출,현금,False,,일시불,
